Year (year),Name of the state (state_name),Name of the district (district_name),Name of the block (block_name),Name of the Gram Panchayat (gp_name),Number of registered households (reg_hh),Number of registered persons (reg_pers),Number of deleted job cards for households (del_jobcards_hh),Number of deleted job cards for persons (del_jobcards_pers),Number of included job cards for households (incl_jobcards_hh),Number of included job cards for persons (incl_jobcards_pers),Cumulative job cards issued for Scheduled Castes for households (cumul_hh_jobcards_sc),Cumulative job cards issued for Scheduled Tribes for households (cumul_hh_jobcards_sts),Cumulative job cards issued for other categories for households (cumul_hh_jobcards_others),Total cumulative job cards issued for all categories for households (cumul_hh_jobcards_tot),Number of households demanding employment (emp_demand_hh),Number of persons demanding employment (emp_demand_pers),Number of households offered employment (emp_offer_hh),Number of persons offered employment (emp_offer_pers),Number of households availing employment (emp_avail_hh),Number of persons availing employment (emp_avail_pers),Total person-days of employment availed (emp_avail_tot_persondays),Person-days of employment availed under central liability (emp_avail_central_persondays),Person-days of employment availed under state's liability (emp_avail_states_persondays),Number of households completing 100 days of employment (fam_completed_100_days),Number of households benefiting from land reform or IAY schemes (land_reform_benef_hh),Number of disabled individuals benefiting from the scheme (disabled_benef_indiv)
"2020-2021","Tamil Nadu","Tiruvannamalai","Tiruvannamalai","Kattampoondi","937.0","1062.0","1.0","4.0","36.0","40.0","46.0","0.0","884.0","930.0","843.0","871.0","843.0","871.0","831.0","858.0","24705.0","24705.0","0.0","0.0","0.0","6.0"
"2019-2020","Gujarat","Chhotaudepur","Jetpur Pavi                                       ","Dhanpur","566.0","1001.0","6.0","8.0","9.0","29.0","14.0","372.0","180.0","566.0","183.0","259.0","182.0","255.0","168.0","228.0","6825.0","6825.0","0.0","0.0","0.0","0.0"
"2017-2018","Jharkhand","Ranchi","Namkum","Tati East","1.0","2.0","363.0","586.0","1.0","2.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2019-2020","Karnataka","Bengaluru","Bengaluru South","K. Gollahalli","104.0","227.0","29.0","70.0","28.0","62.0","4.0","0.0","100.0","104.0","44.0","89.0","39.0","74.0","26.0","48.0","1007.0","1007.0","0.0","0.0","0.0","0.0"
"2022-2023","Maharashtra","Chandrapur","Sindewahi","Gunjewahi","686.0","1883.0","0.0","4.0","16.0","34.0","25.0","39.0","622.0","686.0","107.0","168.0","107.0","169.0","102.0","161.0","2607.0","2607.0","0.0","0.0","0.0","0.0"
"2018-2019","Telangana","Wanaparthy","Pangal","Gopalpur","1144.0","2403.0","0.0","0.0","16.0","25.0","190.0","196.0","758.0","1144.0","444.0","760.0","444.0","760.0","331.0","551.0","20934.0","20934.0","0.0","97.0","12.0","0.0"
"2016-2017","Madhya Pradesh","Raisen","Udaipura","Ramkhiriya","192.0","428.0","59.0","134.0","26.0","52.0","59.0","68.0","59.0","186.0","33.0","71.0","33.0","71.0","23.0","53.0","806.0","806.0","0.0","3.0","0.0","0.0"
"2023-2024","Punjab","Tarn Taran","Bhikhi Wind-13","Amishah","187.0","265.0","0.0","0.0","49.0","49.0","179.0","0.0","8.0","187.0","78.0","79.0","78.0","79.0","73.0","74.0","1772.0","1772.0","0.0","0.0","0.0","0.0"
"2021-2022","Uttar Pradesh","Bijnor","Kotwali","Telipada","85.0","86.0","0.0","0.0","14.0","15.0","0.0","0.0","85.0","85.0","69.0","70.0","69.0","70.0","51.0","52.0","1684.0","1684.0","0.0","0.0","0.0","0.0"
"2022-2023","Uttar Pradesh","Bareilly","Fatehganj West","Rahpura Jageer","260.0","340.0","198.0","282.0","2.0","10.0","22.0","0.0","238.0","260.0","113.0","133.0","113.0","133.0","111.0","128.0","4533.0","4533.0","0.0","6.0","0.0","0.0"
